,ENGAGED_df6,prob,prob_d
63253,0,0.062358937654582614,0
30555,1,0.959951113843755,1
57677,1,0.1977421953521353,0
4340,1,0.8714036609342432,1
72991,0,0.08751551014693533,0
7922,0,0.07683291504740519,0
33742,1,0.9838319606161737,1
58981,0,0.06622960903149967,0
4220,1,0.6061968374330869,1
18125,0,0.1278609195798982,0
72979,0,0.10132867374510077,0
29425,0,0.10785666423233964,0
56836,0,0.08540521051187985,0
28295,1,0.061243724591119056,0
49498,0,0.06054292212268423,0
68148,0,0.13676095624096374,0
5898,0,0.09545743099199869,0
77771,0,0.10371630725058074,0
3337,1,0.33549415709103386,1
49230,0,0.06340800902660557,0
39344,0,0.10023241551310426,0
64325,1,0.12113774911317236,0
53958,1,0.9889714950919083,1
57927,0,0.10084978869908974,0
61476,0,0.0888874183766043,0
60967,1,0.07933543016262488,0
40070,0,0.14909144063406565,0
